Label,Susan,Jeroen
Gedenken,,
Herdenkingen,,
Heldengedenktag,,
Heldengedenkdagen,,
Dodenherdenking,,
Remembrance of the Dead,,
Totengedenktag,,
Partei der Arbeit,,
Labour Party,,
Partij van de Arbeid,,
Doorbraak-gedachte,,
Politieke partijen,,
Political party,,
Politische Partei,,
Oranjewacht,,
Oranjewacht',,
De Zwarte Plak',,
De Zwarte Plak,,
Groep Hamelink,,
Groep Hamelink',,
Groep Fikkert,,
Groep Fikkert',,
Groep Garrelsweer',,
Groep Garrelsweer,,
KP Barendrecht,,
KP Barendrecht',,
Ons Volk-groep,,
Bond van Communisten',,
Bond van Communisten,,
KP Boskoop',,
KP Boskoop,,
KP Enschede,,
KP Enschede',,
KP Helden',,
KP Helden,,
NV De Strijders',,
NV De Strijders,,
Groep Brandsma,,
Groep Brandsma',,
KP Drachten',,
KP Drachten,,
Groep Braam,,
Groep Braam',,
Groep-Westerweel,,
Groep-Westerweel',,
KP Joure,,
KP Joure',,
KP Vries,,
KP Vries',,
KP Veenendaal',,
KP Veenendaal,,
Comité voor Vrij Nederland,,
Comité voor Vrij Nederland',,
Groep Albrecht,,
Gruppe 'Groep Albrecht',,
Group 'Groep Albrecht',,
Verzetsgroep ‘Ik zal handhaven’,,
KP Boekel',,
KP Boekel,,
Castrum Peregrini,,
Castrum Peregrini',,
Groep Pietab,,
Groep Pietab',,
Verzetsgroep De Vries',,
Verzetsgroep De Vries,,
Groep Van Gruting',,
Groep Van Gruting,,
Groep Lever',,
Groep Lever,,
Widerstand,,
Resistance,,
Verzet,,
Hollandgruppe Freies Deutschland,,
Hollandgruppe Freies Deutschland',,
"Verzetsgroep Deventer, Ter Wolde, Twello, Voorst'",,
"Verzetsgroep Deventer, Ter Wolde, Twello, Voorst",,
KP Hoorn',,
KP Hoorn,,
Hervormde Groep,,
Hervormde Groep',,
Organisatie Stakenborg,,
Organisatie Stakenborg',,
Groep X,,
Groep X',,
Groep Blok',,
Groep Blok,,
Rolls Royce',,
Rolls Royce,,
Zendergroep Jan Klingen,,
Zendergroep Jan Klingen',,
KP Doorn,,
KP Doorn',,
Dienst-Wim',,
Dienst-Wim,,
KP Noord Oost,,
KP Noord Oost',,
De Lichting-groep,,
KP De Krim',,
KP De Krim,,
D.A.V.I.D.',,
D.A.V.I.D.,,
De Waarheid',,
De Waarheid,,
LO Gelderland,,
LO Gelderland',,
Franciscusbrigade,,
Franciscusbrigade',,
Oranje Garde,,
Oranje Garde',,
KP Eindhoven',,
KP Eindhoven,,
Groep Smit-van der Heijden',,
Groep Smit-van der Heijden,,
KP Marinus Post,,
KP Marinus Post',,
STANZ,,
STANZ',,
Katholieke Verzetsorganisatie,,
Katholieke Verzetsorganisatie',,
KP Haarlemmermeer,,
KP Haarlemmermeer',,
Geheime Dienst Nederland',,
Geheime Dienst Nederland,,
Havenspionagegroep Kortlandt,,
Havenspionagegroep Kortlandt',,
KP Nijkerk',,
KP Nijkerk,,
De Arbeiderspers',,
De Arbeiderspers,,
Groep Groos',,
Groep Groos,,
Rood-Wit-Blauw,,
Rood-Wit-Blauw',,
Internationaal-Socialistische Beweging,,
Internationaal-Socialistische Beweging',,
Ondergedoken Camera',,
Ondergedoken Camera,,
Widerstandskämpfer,,
Resistance members,,
Verzetsstrijders,,
KP Zwammerdam',,
KP Zwammerdam,,
KP 's-Hertogenbosch,,
KP 's-Hertogenbosch',,
Pilotenlijn van Olde Loohuis',,
Pilotenlijn van Olde Loohuis,,
Falsificatie Centrale,,
Falsificatie Centrale',,
Groep Auszen Ministerium,,
Groep Auszen Ministerium',,
KP Alkmaar,,
KP Alkmaar',,
Het Driemanschap',,
Het Driemanschap,,
LKP Noord,,
LKP Noord',,
Perhimpunan Indonesia,,
Perhimpunan Indonesia',,
Gruppe 'Groep 'Trouw Moet Blijken'',,
Group 'Groep 'Trouw Moet Blijken'',,
Groep 'Trouw Moet Blijken',,
Vrije Garde (V.G.),,
Vrije Garde (V.G.)',,
Oranje Vrijbuiters',,
Oranje Vrijbuiters,,
KP Nunspeet',,
KP Nunspeet,,
Utrechts Kindercomité,,
Utrechts Kindercomité',,
Weisse Rose,,
Persoonsbewijzencentrale,,
Persoonsbewijzencentrale',,
De Vliegende Brigade',,
De Vliegende Brigade,,
Groep Pandoeren',,
Groep Pandoeren,,
Pilotenhulpgroep van Van der Meer',,
Pilotenhulpgroep van Van der Meer,,
LKP Zuid,,
LKP Zuid',,
Stijkel-groep,,
Stijkel-groep',,
Vrije Groepen Den Haag,,
Vrije Groepen Den Haag',,
KP Land van Heusden en Altena',,
KP Land van Heusden en Altena,,
Groep Clarence',,
Gruppe 'Groep Clarence',,
Groep Clarence,,
Groep Victor',,
Groep Victor,,
Nationaal Steun Fonds,,
NSF',,
Groep-Zwaantje,,
Groep-Zwaantje',,
KP Koudum',,
KP Koudum,,
KP Wierden',,
KP Wierden,,
M-groepen,,
KP Groningen II',,
KP Groningen II,,
Marx-Lenin-Luxemburg-front,,
Marx-Lenin-Luxemburg-front',,
LO',,
LO,,
KP Westerkwartier',,
KP Westerkwartier,,
Biesbosch line-crossers',,
Biesbosch line-crossers,,
KP Soest,,
KP Soest',,
Nederlandse Verzetsorganisatie,,
Nederlandse Verzetsorganisatie',,
Groep Veterman,,
Groep Veterman',,
Koninklijke Nederlandse Illegale Automobiel Club,,
Koninklijke Nederlandse Illegale Automobiel Club',,
Ordedienst',,
OD,,
Partisanen Actie Nederland',,
Partisanen Actie Nederland,,
K-groep',,
K-groep,,
KP Twente',,
KP Twente,,
Groep Marx',,
Groep Marx,,
Groep Henk Höften,,
Groep Henk Höften',,
Radiodienst van de Raad van Verzet',,
Radiodienst van de Raad van Verzet,,
KP Middelstum,,
KP Middelstum',,
KP Kampen,,
KP Kampen',,
KP Sneek',,
KP Sneek,,
Christofoor-groep,,
KP Sexbierum',,
KP Sexbierum,,
Groep Van Dien,,
Groep Van Dien',,
Groep Emmen Riedel',,
Groep Emmen Riedel,,
KP Zuid-Limburg,,
KP Zuid-Limburg',,
Groep Pieter,,
Groep Pieter',,
De Zeemanspot',,
De Zeemanspot,,
Groep De Groot,,
Groep Clarence',,
KP Vollenhove,,
KP Vollenhove',,
Hazemeyergroep',,
Hazemeyergroep,,
Organisatie G,,
Organisatie G',,
Groep De Nederlander,,
KP Almelo,,
KP Almelo',,
Groep Hein,,
Groep Hein',,
Groep Bakker,,
Groep Bakker',,
Groep Kees',,
Groep Kees,,
KP Amsterdam',,
KP Amsterdam,,
De Nieuwsbode,,
KP Dokkum,,
KP Dokkum',,
KP Kerkenveld',,
KP Kerkenveld,,
Verzetsgroep MS',,
Verzetsgroep MS,,
KP Betuwe,,
KP Betuwe',,
KP Hoeksche Waard',,
KP Hoeksche Waard,,
KP Maas en Waal,,
KP Maas en Waal',,
Oranjevendel',,
Oranjevendel,,
Groep Koet,,
Groep Koet',,
LKP,,
LKP',,
Groep Narda,,
Groep Narda',,
"Hooren, Zien en Zwijgen",,
"Hooren, Zien en Zwijgen'",,
Groep 2000,,
Group 'Groep 2000',,
Gruppe 'Groep 2000',,
De Geuzen,,
De Geuzen',,
Groep Nomedos,,
Groep Nomedos',,
Groep Brand',,
Groep Brand,,
KP Nijmegen',,
KP Nijmegen,,
KP Scharnegoutum',,
KP Scharnegoutum,,
PPP',,
PPP,,
KP De Bilt,,
KP De Bilt',,
LO Twente,,
LO Twente',,
Verzetsgroep 'De Groene'',,
Verzetsgroep 'De Groene',,
KP Rotterdam,,
KP Rotterdam',,
KP Heerlen,,
KP Heerlen',,
Groep Oosterhuis-Boerema,,
Groep Oosterhuis-Boerema',,
Het Vrije Volk,,
Het Vrije Volk',,
Die Rote Kapelle,,
Verzetsgroep Beatrix,,
Verzetsgroep Beatrix',,
Groep Bongaerts,,
Groep Bongaerts',,
Mekel-groep',,
Mekel-groep,,
Nieuwlande,,
Nieuwlande',,
Groep Van Beest,,
Groep Van Beest',,
KP Westland,,
KP Westland',,
Particam,,
Particam',,
CS 6,,
CS 6',,
Sectie Friso',,
Sectie Friso,,
"Verzetsgroep ‘Eén voor allen, allen voor één’",,
PP-groep,,
PP-groep',,
De Bezige Bij,,
De Bezige Bij',,
Groep Wagemaker,,
Groep Wagemaker',,
Groep Kleiman',,
Groep Kleiman,,
LKP Utrecht',,
LKP Utrecht,,
Verzetsgroep Oisterwijk,,
Verzetsgroep Oisterwijk',,
KP Sliedrecht,,
KP Sliedrecht',,
KP Sint-Oedenrode,,
KP Sint-Oedenrode',,
Groep Bedum,,
Groep Bedum',,
Landelijk Werkcomité',,
Landelijk Werkcomité,,
KP Leeuwarden',,
KP Leeuwarden,,
Groep-Van den Brink,,
Groep-Van den Brink',,
LO Limburg,,
LO Limburg',,
De Vonk,,
De Vonk',,
KP Meppel,,
KP Meppel',,
Vrij Nederland',,
Vrij Nederland,,
Groep F 152,,
Ten Boom Family,,
Familie Ten Boom,,
Ons Kompas',,
Ons Kompas,,
Leeuwen-Garde,,
Leeuwen-Garde',,
KP Dordrecht,,
KP Dordrecht',,
Ploeg Jos,,
Ploeg Jos',,
KP Purmerend',,
KP Purmerend,,
Comité van Revolutionaire Marxisten',,
Comité van Revolutionaire Marxisten,,
De Vrije Pers,,
De Vrije Pers',,
Belastinggroep Maastricht,,
Belastinggroep Maastricht',,
KP Hoevelaken-Ede',,
KP Hoevelaken-Ede,,
LKP West',,
LKP West,,
TD-Groep',,
TD-Groep,,
Groep Luc,,
Groep Luc',,
Groep Smit,,
Groep Smit',,
Medisch Contact',,
Medisch Contact,,
KP Bakel,,
KP Bakel',,
Communistenbond Spartacus,,
Communistenbond Spartacus',,
Groep Frits',,
Groep Frits,,
Zendgroep Barbara,,
Zendgroep Barbara',,
KP Veenkoloniën,,
KP Veenkoloniën',,
KP Koog-Bloemwijk',,
KP Koog-Bloemwijk,,
I.D.',,
I.D.,,
Groep Tante Maartje,,
Groep Tante Maartje',,
Groep Dresen',,
Groep Dresen,,
Groep Schoemaker,,
Groep Schoemaker',,
KP Apeldoorn,,
KP Apeldoorn',,
Bureau Houtman,,
Bureau Houtman',,
LKP Oost',,
LKP Oost,,
Trouw,,
Trouw',,
NV-groep,,
NV-groep',,
Het Parool',,
Het Parool,,
KP Slochteren,,
KP Slochteren',,
KP Zenderen',,
KP Zenderen,,
Organisatie Ritmeester',,
Organisatie Ritmeester,,
KP Enkhuizen,,
KP Enkhuizen',,
Nederlandse Volks Militie,,
Nederlandse Volks Militie',,
Groep Van Bovene,,
Groep Van Bovene',,
KP Walcheren',,
KP Walcheren,,
Zendgroep Tijdgat,,
Zendgroep Tijdgat',,
Groep Griep,,
Groep Griep',,
De Blauwe Schuit,,
De Blauwe Schuit',,
Luctor et Emergo,,
Luctor et Emergo',,
KP Ommen,,
KP Ommen',,
Bogaard Family,,
Familie Bogaard,,
Groep Westerveld,,
Groep Westerveld',,
Verzetsgroep Tienray,,
Verzetsgroep Tienray',,
Groep Pahud de Mortanges,,
Groep Pahud de Mortanges',,
Groep De Witte Anjer',,
Groep De Witte Anjer,,
KP Friesland,,
KP Friesland',,
Kreisauer Kreis,,
Groep Erkens',,
Groep Erkens,,
KP Groningen,,
KP Groningen',,
Groep Zefat',,
Groep Zefat,,
Kroniek van de Week,,
Groep Nederland voor Oranje',,
Groep Nederland voor Oranje,,
Groep Kruijff,,
Groep Kruijff',,
Groep Lohmann,,
KP Oostburg',,
KP Oostburg,,
KP Lopik',,
KP Lopik,,
Groep Gerretsen',,
Groep Gerretsen,,
KP Aalten',,
KP Aalten,,
Amsterdamse Studenten Groep',,
Amsterdamse Studenten Groep,,
Vrije Groepen Amsterdam,,
Vrije Groepen Amsterdam',,
KP De Hondsrug,,
KP De Hondsrug',,
Groep Molenaar,,
Groep Molenaar',,
KP Rotterdam-Zuid,,
KP Rotterdam-Zuid',,
Maasbode-groep,,
KP Breda',,
KP Breda,,
Pilotenlijn van Jules Haeck,,
Pilotenlijn van Jules Haeck',,
KP Rijnsburg',,
KP Rijnsburg,,
Groep Sobenlader',,
Groep Sobenlader,,
KP Roermond,,
KP Roermond',,
Strijdend Nederland-groep,,
Groep Meertens,,
Groep Meertens',,
Groep Overduin',,
Groep Overduin,,
Legioen Oud-frontstrijders',,
Legioen Oud-frontstrijders,,
Groep André,,
Groep André',,
Groep Dobbe',,
Groep Dobbe,,
AB (Advies Bureau),,
AB (Advies Bureau)',,
Je Maintaindrai,,
Groep Packard,,
Groep Packard',,
Groep N.O.,,
KP Smilde',,
KP Smilde,,
De Vrije Katheder',,
De Vrije Katheder,,
Dutch-Paris Escape Line,,
Deutsche Revisions- und Treuhandgesellschaft A.G.,,
Omnia-Treuhandgesellschaft m.b.H.,,
Games,,
Spellen,,
Spiele,,
Rekreation,,
Recreation,,
Recreatie,,
Art,,
Kunst,,
Kultur,,
Culture,,
Cultuur,,
"Ministry of Education, Arts and Sciences",,
"Ministerie van Onderwijs, Kunsten en Wetenschappen",,
"Ministerie van Onderwijs, Kunsten en Wetenschappen'",,
Techniek,,
Techniques,,
Technik,,
Technology,,
Technologie,,
Industrieën,,
Industries,,
Industrien,,
Mijnen,,
Mine,,
Mines,,
Waffen,,
Wapens,wapens,Wapens
Arms,,
Neuengamme,,
Eidelstedt,,
Alt Garge,,
Ladelund,,
Bullenhuser Damm,,
Boizenburg,,
Riespott,,
Hannover-Stöcken,,
Engerhafe,,
Bahrsplate,,
Kaltenkirchen,,
Hannover-Limmer,,
Fallersleben,,
Salzgitter-Drütte,,
Salzwedel,,
Hecht,,
Bremen-Hindenburgkaserne,,
Watenstedt,,
Cap Arcona,,
Meppen-Versen,,
Farge,,
Wöbbelin,,
Dessauer Ufer,,
Beendorf,,
Husum-Schwesing,,
Porta Westfalica,,
Lübberstedt,,
Psychological Warfare Division,,
Propaganda,,
Schallplatte,,
Phonograph records,,
Grammofoonplaten,,
Musik,,
Music,,
Muziek,,
Communistische Partij Holland',,
CPH,,
Communist Party of the Netherlands,,
CPN,,
Klassieke Muziek,,
Klassische Musik,,
Classical music,,
Havens,,
Harbors,,
Hafen,,
Scheepvaart,,
Maritime transport,,
Schiffahrt,,
Ministry of Agriculture and Fisheries,,
Departement van Landbouw en Visserij,,
Ministerium für Landwirtschaft und Fischerei,,
Ministeries,,
Ministerien,,
Ministries,,
Zwischenkriegszeit,,
Interwar period,,
Interbellum,,
Gelijkschakeling,,
Gleichschaltung,,
Krisenzeit,,
Great Depression,,
Crisistijd,,
War reparations,,
Herstelbetalingen,,
Reparationen,,
Appeasement,,
Rijksdag,,
Reichstag,,
Machtübernahme,,
Machtsovername,,
Vorkriegszeit,,
Pre-war period,,
Vooroorlogse periode,,
Anschluss,,
VARA,,
VARA',,
Omroep,,
Rundfunk,,
Network,,
Middenstand,,
Middle class,,
Mittelklasse,,
Companies,,
Bedrijven,,
Gewerbe,,
Djoernatan,,
Gevangenissen,,Gevangenissen
Gefängnisse,,
Prisons,,
Interneringskampen,interneringskampen,Interneringskampen
Internment camps,,
Internierungslager,,
Republican camps,,
Republikaner Lager,,
Republikeinse kampen,,
Generalkommissariat für Verwaltung und Justiz,,
Civil occupation regime,,
Reichskommissariat Niederlande,,
Demonstraties,,
Demonstrations,,
Demonstrationen,,
Openbare orde,,
Public order,,
Öffentliche Ordnung,,
Nature conservation,,
Natuurbescherming,,
Naturschutz,,
Raumplanung,,
Spatial planning,,
Ruimtelijke ordening,,
Wohnwagenbewohner,,
Woonwagenbewoners,,
Trailer park residents,,
Bevolkingsgroepen,,
Bevölkerungsgruppe,,
Population segments,,
Verfolgung,,
Vervolging,vervolging,Vervolging
Prosecution,,
Camp 'Strafgevangenis en Huis van Bewaring Groningen',,
Strafgevangenis en Huis van Bewaring Groningen',,
Strafgevangenis en Huis van Bewaring Groningen,,
Fort Zeelandia,,
London Cage,,
Boven-Digoel',,
Boven-Digoel,,
Rheinbach,,
Møllergata 19,,
Rawicz,,
Strafkamp Port Natal,,
Port Natal',,
Penal camp Port Natal,,
Kamp Erika',,
Erika concentration camp,,
Kamp Erika,,
Tegel,,
Fresnes,,
Gefangene,,
Prisoners,,
Gevangenen,,Gevangenen
Gevangenis Vorst,,
Lloyd Hotel Prison,,
Gevangenis Lloyd Hotel,,
Gevangenis Lloyd Hotel',,
Saussaies,,
Huis van Bewaring Leeuwarden,,
Huis van Bewaring Leeuwarden',,
Oranjehotel',,
Oranjehotel,,
Gevangenis Amstelveenseweg',,
Amstelveenseweg Prison,,
Gevangenis Amstelveenseweg,,
Rollwald,,
Prison de la Santé,,
Veenhuizen,,
Graupenstrasse,,
Fort van Hoei,,
Bordiot,,
Plötzensee,,
Kriegswehrmachtsgefängnis,,
Haagsche Veer,,
Gevangenis Weteringschans,,
Weteringschans Prison,,
Gevangenis Weteringschans',,
Kampen,,
Camps,,
Lager,,
KZ Wilhelmshaven,,
Strafkamp Wilhelmshaven,,
Penal camp Wilhelmshaven,,
Spandau,,
Huis van Bewaring Zwolle',,
Huis van Bewaring Zwolle,,
Prison du Cherche-Midi,,
Huis van Bewaring Almelo,,
Huis van Bewaring Almelo',,
Montluc Gefängnis,,
Montluc Prison,,
Prison de Pré-Pigeon,,
Val-Barizien,,
Brandenburg-Görden,,
Kamp Haaren,,
Camp Haaren,,
Kamp Haaren',,
Gevangenis Crackstate',,
Gevangenis Crackstate,,
Fort Queuleu,,
Wittlich,,
Polizeiliches Durchgangslager Schoorl,,
Kamp Schoorl,,
Schoorl concentration camp,,
Kamp De Kruisberg,,
Kamp De Kruisberg',,
Camp 'De Kruisberg',,
Untersuchungs- und Strafgefängnis Wolvenplein,,
Terreur,terreur,Terreur
Terror,,
Branches,,
Berufsgruppen,,
Beroepsgroepen,,
Autor,,
Actors,,
Auteurs,,
Ingenieurs,,
Ingenieure,,
Engineers,,
Künstler,,
Kunstenaars,,
Artists,,
Trade unions,,
Vakverenigingen,,
Gewerkschaften,,
Oorlogscorrespondenten,,
War correspondents,,
Kriegsberichter,,
Dolmetscher,,
Interpreters,,
Tolken,,
Musicians,,
Musiker,,
Musici,,
Hoogleraren,,
Professors,,
Professoren,,
Artisten,,
Artiesten,,
Performers,,
Boeren,,
Bauern,,
Farmers,,
Architects,,
Architekte,,
Architecten,,
Seefahrend,,
Zeevarenden,,
Sailors,,
KNIL,,
Armed forces,,
Streitkräfte,,
Strijdkrachten,,
Kolonie,,
Koloniën,,
Colonies,,
Stalag 354 Barawucha,,
Stalag 371 Stanislau,,
Marlag Stettin,,
Oflag XII-A,,
Fort Hunt,,
Haroekoe,,
Stalag I-A,,
Stalag XXI-C/H,,
Stalag 364 Nikolajew,,
Bogor,,
Stalag,,
Dulag Luft,,
Stalag XVIII-A/Z,,
Dampit,,
Adek,,
Stalag XX-B,,
Stalag 307 Dęblin,,
Stalag 328 Lemberg,,
Oflag XVIII-A,,
Stalag Luft 5,,
Oflag VII-A,,
Oflag X-A,,
Stalag Luft I,,
Stalag XI-B,,
Oflag XIII-A,,
Cowra,,
Muntok,,
Muntok',,
Oflag XXI-C,,
Stalag IV-D,,
Stalag VI-D,,
Stalag IV-H,,
Oflag VI-D,,
Oflag VIII-C,,
Stalag X-A,,
Stalag XII-B,,
Oflag XII-B,,
Oflag V-B,,
Stalag II-E,,
Oflag III-B,,
Oflag V-C,,
Stalag VI-J,,
Oflag VIII-G,,
Kriegsgefängenenlager Staumühle,,
Oflag VIII-H/Z,,
Oflag IX-A/H,,
Stalag XI-D,,
Oflag,,
Stalag XII-F Saarburg - Ulanenkaserne,,
Liebenau,,
Leuwigadjah,,
Stalag II-A,,
Oflag II-C,,
Stalag V-B,,
Dulag Luft Oberursel,,
Stalag IX-B,,
Marlag Gotenhafen,,
Hohnstein,,
Oflag II-D,,
Oflag X-B,,
Stalag VIII-B,,
Stalag IV-B,,
Stalag I-B,,
Stalag XXI-C/Z,,
Frontstalag 162,,
Stalag 366 Siedlce,,
Stalag 350 Riga,,
Marine Dulag Gotenhafen,,
Taloen camp,,
Taloenkamp,,
Glen Mill,,
Amahei,,
Kawasaki,,
Lands Opvoedings Gesticht Bandoeng,,
Stalag XVIII-B,,
Belawan,,
Stalag XX-C,,
Stalag 315 Przemyśl,,
Royallieu-Compiègne,,
Frontstalag 122,,
Kampong Makassar,,
Stalag 372 Pskow,,
Stalag Luft 6,,
Oflag VII-B,,
Stalag XXI-D,,
Mater Dolorosa,,
Stalag III-B,,
Shirakawa,,
Kamioka,,
Stalag XVII-A,,
Oflag VI-B,,
Oflag XXI-C/Z,,
Stalag IV-G,,
Stalag VI-F,,
Oflag VI-E,,
Stalag IX-A,,
Oflag VIII-E,,
Stalag X-C,,
Stalag XII-C,,
Stalag XIII-A,,
Bergen-Belsen,,
Stalag II-F,,
Stalag II-G,,
Oflag III-C,,
Tarsao,,
Stalag VI-A,,
Poniatowa,,
Oflag 79,,
Cabanatuan,,
Stalag VI-K,,
Oflag II-A,,
Stalag IX-C,,
Stalag 357,,
Dulag,,
Stalag XII-F Bolchen,,
Tandjoengkarang,,
Tandjoeng Karang,,
Stalag II-B,,
Oflag II-E,,
Stalag V-C,,
Lenzing,,
Soengei Sengkol,,
Soengeisengkol,,
Stalag Luft 2,,
Stalag VII-A,,
Oflag VII-CH,,
Stalag XI-A,,
Stalag III-A,,
Oflag X-C,,
Werschetz,,
Soltau,,
Stalag I-F,,
Stalag 369 Krakau,,
Tjikoedapateuh,,
Stalag II-C,,
Stalag 351 Priimetsa,,
Marlag und Milag Nord Westertimke,,
Watten,,
Batu Lintang,,
Stalag XVIII-C,,
Stalag 319 Chełm,,
Stalag XXI-A,,
Glodok,,
Stalag XII-D,,
Tjilatjap,,
Stalag 329 Winniza,,
Baros,,
Lawesigalagala,,
Stalag Luft 7,,
Oflag XXI-A,,
Padang,,
Campo 78 Sulmona,,
Stalag XVII-B,,
Ohrdruf,,
Stalag X-B,,
Oflag XVIII-C,,
Oflag 64 Schubin,,
Oflag IV-B,,
Stalag XVIII-D,,
Stalag VII-B,,
Oflag VIII-F,,
Stalag IV-E,,
Stalag X-D,,
Stalag XIII-B,,
Prisoners of war,,
Kriegsgefangener,,
Krijgsgevangenen,,Krijgsgevangenen
Stalag 325 Rawa Ruska,,
Stalag VI-A,,
Stalag IV-A,,
Tamuan,,
Stalag VI-B,,
Zentsuji,,
Oflag VI-A,,
Oflag XVII-A,,
Oflag VIII-A,,
Oflag IX-A/Z,,
Oflag XI-A,,
Stalag XII-F Forbach,,
Oflag VIII-D,,
Oflag V-A,,
Stalag III-C,,
Struiswijk,,
Stalag V-CZ,,
Stalag VI-G,,
Stalag Luft 4 Beinia,,
Oflag VII-CZ,,
Stalag VIII-C,,
Oflag X-D,,
Stalag XVIII-A,,
Stalag XXI-B Schubin,,
Tantoei,,
Stalag Luft Sudauen,,
Tuturano,,
Oflag IV-D,,
Marlag Rügenwalde,,
Stalag 352 Masjukowtschina,,
Harima,,
Stalag XXI-B Turek,,
Gloegoer,,
Maoemere,,
Poeroek Tjahoe,,
Stalag 355 Chmelnyzkyj,,
Frontstalag,,
Tamazato,,
Stalag Luft XVII-B,,
Stalag XX-A,,
Stalag 307 Biała Podlaska,,
Stalag Luft 4 Gross Tychow,,
Marlag,,
Oflag VII,,
Stalag 327 Jaroslau,,
Oflag X,,
Stalag IV-F,,
Betoeng/Ketiau,,
Stalag XIII-C,,
Liang,,
Stalag 369 Kobierzyn,,
Colditz,,
Stalag IV-C,,
Chungkai,,
Stalag VI-C,,
Oflag VI-C,,
Oflag VIII-B,,
Oflag IX-B,,
Stalag XII-A,,
Stalag XII-F Freinsheim,,
Stalag II-D,,
Pootung,,
Stalag III-D,,
Samarinda,,
Stalag V-D,,
Stalag VI-H,,
Stalag XIII-D,,
Stalag VIII-A,,
Tjimahi,,
Oflag VIII-H/H,,
Stalag 333 Ostrów-Komorowo,,
Oflag XI-B,,
Stalag XII-E,,
Djatingaleh,,
Dai-Ni,,
Stalag 56 Prostken,,
Oflag II-B,,
Oflag XXI-B,,
Monasteries,,
Klöster,,
Kloosters,,
Religion,,
Religie,,
Vernietigingskampen,vernietigingskampen,Vernietigingskampen
Vernichtungslager,,
Extermination camps,,
Majdanek,,
Auschwitz-Birkenau,,
Sobibor,,
Sobibór,,
